AchievementCode,AchievementName,AchievementDescription
ACH_FIRST_RUNE,My First Runestone!,Unlock your first Runestone.
ACH_BEASTS_OF_BURDEN,Beasts of Burden,Collect 8 Objects in one game.
ACH_DICE_WITH_DEATH,Best of Two out of Three,Win a Dice With Death encounter.
ACH_ROW_YOUR_BOAT,Row Your Boat,Use a Raft to cross the river.
ACH_ASSASSINATION,Assassination,"As the Assassin, assassinate any creature or character."
ACH_PROPHESY,Prophesy,"As the Prophetess, replace any Adventure Card."
ACH_ST_GEORGE,St. George,Kill a Dragon using the Holy Lance.
ACH_DUAL_WIELDER,Dual Wielder,"As the Warrior, kill an enemy with two weapons."
ACH_FIRST_GOLD_RUNE,They Come in Gold?!,Unlock your first Gold Runestone.
ACH_UNDECIDED,Undecided,"As the Druid, change your alignment."
ACH_REAP_REAPER_SIX,Reap What You Sow,Roll a 6 when confronted by the Reaper.
ACH_HLAND_EYRIE,Climb to the Top,Make your way to the Eyrie and defeat the Eagle King.
ACH_DENIED,Denied!,Get yourself killed whilst someone is on the Crown of Command.
ACH_ROYAL_ENTOURAGE,Royal Entourage,Have the Prince and Princess as followers at the same time.
ACH_TEMPLE_ESCAPE,Escape Artist,Escape from the Temple on the first try.
ACH_ALL_RUNES,The Warlock Would Be Proud,Unlock all Runestones.
ACH_THIEF,Thief,"As the Thief, steal an Object from the Village."
ACH_FM_TIME_STEAL,Getting Ahead,Steal another player's turn.
ACH_TOUGH,Tough,"As the Troll, heal yourself after rolling a 6 to move."
ACH_CHALLENGER_APPEARED,A Challenger Has Appeared,Kill a player already on the Crown of Command.
ACH_POWERFUL,Powerful,"As the Wizard, raise your total Craft to 10."
ACH_WINNER,Winner!,Earn the Winner! reward 5 times.
ACH_GRACEFUL,Graceful,"As the Elf, move between two Woods spaces."
ACH_IMMORTAL,Immortal,Win a game without losing a life.
ACH_FM_TREASURE,What's in the Box?,Eliminate all other characters with Pandora's Box and win the game.
ACH_CHARMING,Charming,"As the Minstrel, charm any Animal."
ACH_DUNG_BATTLE_HULK,I'm Not Fighting That!,Evade the Battle Hulk.
ACH_UNBELIEVER,Unbeliever,Win a game without using fate.
ACH_PVP_MASTER,PvP Master,Earn the PvP Master reward 5 times.
ACH_UNDEAD,Undead,"As the Ghoul, raise an Enemy as a Follower."
ACH_PEACEFUL,Peaceful,"As the Monk, increase your Pray score."
ACH_BATTLE_TOAD,Battle Toad,Win a Battle as a Toad.
ACH_CITY_PRISON_BREAK,Prison Break,Escape from Jail.
ACH_HLAND_MAGPIE,Sharp Eyed Friend,Use the Magpie to find an Object quicker than usual.
ACH_TROPHY_MASTER,Trophy Master,Earn the Trophy Master reward 10 times.
ACH_HOME,Home,"As the Dwarf, travel to the Mines."
ACH_DUNG_LORD_OF_DARKNESS,Beyond the Looking Glass,Have the Lord of Darkness teleport you straight to the Crown of Command.
ACH_LEVEL_TEN,Learning the Ropes,Reach level 10.
ACH_DUNG_SWASHBUCKLER,Stand and Deliver,"As the Swashbuckler, defeat a creature in order to take another turn."
ACH_FM_TRICKSTER,A Helping Sleight of Hand,Defeat the Trickster and have him steal an Object for you.
ACH_MIDAS_TOUCH,The Midas Touch,Alchemise 8 objects in one game.
ACH_HLAND_BOULDER,"Hey, Watch Out!",'Accidentally' cause the Tumbling Boulder to land on another character.
ACH_PERSUASIVE,Persuasive,"As the Sorceress, beguile another character."
ACH_WLAND_BOUND_FOR_GLORY,Bound for Glory,"In one game be Lightbound, Darkbound, Unbound and Fateless."
ACH_PIED_PIPER,Pied Piper,Earn the Pied Piper reward 10 times.
ACH_DUNG_AMAZON,I Meant to Do That,"As the Amazon, redo a battle you would have lost and go on to win."
ACH_PACK_MARTYR,Divine Fervour,"As the Martyr, win a battle by sacrificing a life."
ACH_STOP_IMMOBILISE,I Go Where I Please!,Prevent someone from immobilising you.
ACH_CITY_JACKPOT,Jackpot!,Win the Lottery.
ACH_HLAND_DRAGONS_EYE,Dragon Tamer,Use the Dragon's Eye to capture and use a Dragon in battle.
ACH_SHALL_NOT_CAST,YOU SHALL NOT CAAST!!,Prevent the same person from casting spells 3 times in one game.
ACH_BMOON_MEET_MY_MASTER,Meet My Master,Force another character to roll on the Werewolf's chart by beating them in combat.
ACH_BIG_SPENDER,Big Spender,Earn the Big Spender reward 10 times.
ACH_THE_EXORCIST,The Exorcist,Use the Cross to kill a Demon.
ACH_BATTLE_MASTER,Battle Master,Earn the Battle Master reward 20 times.
ACH_FIFTY_ONLINE_GAMES,Online Adventurer,Finish 5 online games.
ACH_STRONGEST,Strongest,Earn the Strongest reward 20 times.
ACH_FLANDS_NOBLE_IFRIT,Boss Noble,Defeat one of the Noble Ifrits.
ACH_FM_GIVE_GOLD,This is For You,Give another character some of your Gold.
ACH_FM_ICE_QUEEN,Stay Frosty,Win a game by defeating the Ice Queen.
ACH_REAP_LORD_OF_THE_PIT,A Perilous Journey,Move to the Plain of Peril after defeating the Lord of the Pit.
ACH_SPIRITS_DESTROYER,Spirit Destroyer,Earn the Spirit Destroyer reward 20 times.
ACH_MOST_INTELLIGENT,Most Intelligent,Earn the Most Intelligent reward 20 times.
ACH_REAP_CULTIST,A Tale of Good and Evil (where Evil wins for a change),"As the Dark Cultist, take a life from a character of Good Alignment."
ACH_PACK_NINJA,Hidden Fortress,"As the Ninja, defeat an Enemy on the City space."
ACH_FATE_WEAVER,Fate Weaver,Earn the Fate Weaver reward 5 times.
ACH_FM_WARLOCK,What Else do You Have Back There?,"As the Warlock, take a card from the Purchase deck as a quest reward."
ACH_PACK_COURTESAN,Irresistible,"As the Courtesan, seduce another character."
ACH_STOP_DIVINATION,These Are Not the Cards You Are Looking For...,Prevent someone from casting Divination.
ACH_FLANDS_PLACE_IN_FLAMES,Accidental Arsonist,Cause the City or Temple to go up in flames.
ACH_HLAND_ALCHEMIST,"Waste Not, Want Not","As the Alchemist, alchemise 20 pieces of Gold."
ACH_DUNG_GLADIATOR,Contenders Ready!,"As the Gladiator, use 3 trained Followers in a single battle."
ACH_FLANDS_BURN_OTHER_PLAYERS_CARD,Twisted Firestarter,Use a card effect to burn another player's Card.
ACH_CITY_DAMAGED_GOODS,Damaged Goods,Repair a broken sword or armour at the Armoury.
ACH_HLAND_VALKYRIE,Keeping One's Intentions in the Dark,"As the Valkyrie, pray at the Graveyard with Good Alignment."
ACH_HARB_BEAST,Feed the Beast,Placate the Scavenging Beasts by relinquishing a trophy to them.
ACH_FM_NECROMANCER,Enthralling,"As the Necromancer, use an enthralled Spirit in psychic combat."
